scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,392.49173,222.55571,1.0,387.07666,239.7946,1.0,419.25577,300.85275,0.91467386,418.9432,346.33658,0.93616223,418.7759,363.8221,0.9238176,408.7391,406.64545,0.79930884,406.01324,424.44412,0.9071424,433.16467,230.3142,1.0,447.7074,381.68494,0.9587254,314.67007,227.1161,0.90367556,336.01068,374.40903,0.91314715
1,393.00064,221.7346,0.9857996,387.60873,239.18387,1.0,419.036,300.7273,0.9666891,419.1504,345.69278,0.91602975,419.1542,363.1636,0.90002143,408.9861,407.46848,0.7756455,405.9779,425.35797,0.8819514,433.56396,230.66121,1.0,447.9784,381.65393,0.96753883,314.2934,225.58417,0.90314746,337.14026,374.51654,0.8738915
2,392.7906,222.10727,0.99502313,387.09644,239.5265,1.0,419.08014,300.36487,0.99907434,419.83392,345.45197,0.9273181,420.43207,362.62033,0.91439265,408.9292,406.26285,0.7906629,405.66928,423.99268,0.92274046,433.617,231.08658,1.0,447.65683,380.16742,0.92978233,314.88712,226.45114,0.9080772,336.0494,374.5852,0.87123066
3,392.61868,222.26181,1.0,387.13202,239.68576,1.0,418.4743,300.1313,0.97921944,419.85907,345.0443,0.9415945,420.97528,362.21127,0.941788,408.96817,405.71176,0.7875168,405.6125,423.63278,0.9144732,433.38586,231.17647,1.0,447.89066,379.62665,0.92946815,314.8218,226.87355,0.89588565,336.15204,375.73935,0.8588314
4,392.64566,222.36147,1.0,387.30792,239.78967,1.0,417.6837,299.40457,0.98741627,420.23392,344.73975,0.9444138,421.59363,362.03458,0.9417368,409.09464,405.81992,0.785265,405.306,424.1591,0.9193633,433.68292,230.90472,1.0,447.9546,378.90546,0.89897376,314.58038,226.92046,0.8977601,335.20566,374.7988,0.8701755
5,392.6506,222.7861,1.0,387.06244,239.89563,1.0,417.57645,299.21524,0.9414397,420.49097,344.34253,0.95401835,422.3058,361.81473,0.9343695,408.88776,406.12653,0.7774036,405.3382,424.69595,0.88296604,433.5523,230.79689,1.0,448.1756,378.5174,0.90436465,314.68625,227.03323,0.89626604,334.74243,373.52115,0.873301
6,392.86188,222.92723,1.0,387.3176,240.04091,1.0,417.66464,299.81235,0.9793522,420.56534,344.2552,0.9646312,422.44693,361.73343,0.93145585,408.57254,406.40756,0.76300573,405.35376,425.71384,0.90433383,433.69647,230.8857,1.0,448.32578,377.73325,0.94125015,315.33224,226.97989,0.8895663,334.3186,374.08994,0.8777593
7,392.7858,223.04475,1.0,387.41882,240.27153,1.0,418.303,299.7259,1.0,420.4689,344.03467,0.96712476,421.9157,361.41583,0.93309027,408.41995,406.0428,0.7583575,405.1918,425.37738,0.9155048,433.6722,230.76808,1.0,448.32156,378.0959,0.94261867,314.1798,227.25714,0.9168017,333.90738,373.8248,0.8961413
