scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,256.02866,164.59589,0.9269379,255.64925,181.5959,0.90690774,163.09991,218.73148,0.5656586,134.09593,243.4607,0.8156509,124.51322,263.8732,0.9759915,122.76821,296.34207,0.6595117,128.46693,309.33185,0.5377533,309.86096,181.34978,0.997603,205.67151,310.23743,0.9061211,212.64351,177.37735,0.7112693,109.07316,281.3545,0.73719555
1,255.70807,164.77048,0.91677046,255.61674,181.60384,0.9111937,163.15218,219.0313,0.5561866,133.95067,244.12155,0.83986306,124.29516,265.0122,0.9850535,123.11761,296.53925,0.70516044,127.28431,310.7491,0.5744169,309.79044,181.65392,0.9941736,204.65382,309.21997,0.9016989,212.7836,176.8595,0.69760334,108.659,282.872,0.7511348
2,255.96638,164.51776,0.8908437,255.61417,181.6365,0.89415354,160.61385,217.60332,0.5733884,133.96301,245.45271,0.87118125,124.29725,266.86362,0.9653554,121.0207,298.21027,0.74558175,125.5059,313.18723,0.59386754,309.4717,182.14726,0.9944766,204.24106,310.1379,0.8704196,212.79108,177.51042,0.70259774,108.745514,285.90936,0.741411
3,255.7548,164.58852,0.8941163,255.10112,181.80841,0.8916204,160.53482,217.68478,0.57210416,133.8046,245.54552,0.86389095,124.10231,266.82657,0.9660861,120.80595,298.29904,0.76445746,125.33442,313.3272,0.6079393,309.282,182.23978,0.9974103,205.02301,310.709,0.8646856,212.85748,177.52722,0.70139134,108.172905,286.226,0.74505997
4,255.7585,164.7407,0.8978277,254.89339,182.0086,0.89804685,160.60681,218.10144,0.56877035,133.9077,245.84132,0.8738251,124.37287,267.19916,0.9642606,120.89294,298.40717,0.75687575,125.24704,313.58075,0.5992686,309.20102,182.6535,0.97326964,204.4214,310.65308,0.8540384,212.69228,177.49756,0.70030904,108.38941,286.57178,0.7421903
5,255.51349,164.86467,0.90347534,254.86906,181.82448,0.89156777,160.6686,218.0687,0.5744148,133.92046,245.97176,0.8976332,124.24389,267.35895,0.9792098,121.16207,298.08957,0.7323792,125.816505,312.19684,0.58445144,309.04285,182.65936,0.96454465,205.39352,311.0703,0.86534685,212.92131,177.49176,0.70361316,108.352234,286.5059,0.75519776
6,255.14418,165.04399,0.91966194,254.75119,181.7112,0.9025476,160.78973,218.29439,0.5690496,133.79099,245.94394,0.88536185,124.18618,267.5857,0.9767142,120.72701,298.74506,0.7761525,125.28427,313.45978,0.57953846,308.89636,182.58246,0.96027213,205.34781,311.04663,0.8487621,212.73918,177.45363,0.70537907,108.17624,286.8525,0.7563954
7,254.83684,165.33948,0.91376996,254.51797,182.21938,0.90587264,160.74387,218.48152,0.57488674,133.73212,246.07518,0.9204151,124.24363,267.69165,0.9883905,119.95803,297.6266,0.78586674,124.47518,313.02655,0.62354094,308.79132,182.76834,0.9599173,204.65833,310.69354,0.8713366,212.49281,177.67676,0.70499706,108.46683,286.659,0.73417896
