scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,224.18423,232.57846,0.6832968,222.2891,255.99,0.73956776,143.02231,316.08203,0.63990295,111.16786,354.71957,0.8595573,100.724655,374.9222,0.92341065,98.45936,407.1659,0.841759,107.25748,421.4684,0.7838789,280.19418,256.91312,0.7836214,185.29176,410.9813,0.7891491,179.81117,240.252,0.8878815,87.5991,379.86047,0.7053097
1,223.84274,233.12225,0.68112355,221.76405,256.25647,0.7500209,143.0989,316.73492,0.64354265,111.38812,355.3993,0.8544681,101.39253,375.45706,0.9184789,98.98825,408.49268,0.81098086,103.43444,424.25934,0.7526579,279.93054,256.83478,0.7605023,187.08197,411.8385,0.8007163,179.22127,240.38133,0.89305097,87.95521,380.8465,0.7070848
2,223.92757,232.9263,0.69679505,221.94157,255.82173,0.7683139,142.95158,317.03076,0.6322639,111.212944,355.71817,0.8518367,101.40651,375.71194,0.9160352,100.13368,410.17676,0.83401054,106.39392,427.29718,0.8270274,282.1206,256.9821,0.7640535,187.111,412.91992,0.8427141,178.74242,240.51933,0.8986355,86.79302,381.79395,0.73548824
3,223.50826,233.02335,0.6977752,221.64995,255.92809,0.78264874,142.83916,316.99017,0.6279928,111.253204,355.7472,0.84646434,101.48876,375.66922,0.9113728,100.218765,410.13876,0.8439553,106.21168,426.9607,0.81858176,282.01453,257.47183,0.7621841,187.18037,413.00427,0.8282248,178.54915,241.85556,0.8979774,86.90801,381.63242,0.73171145
4,222.97005,232.74806,0.72067213,221.19978,255.79333,0.7908733,142.95323,316.98962,0.62988883,111.01638,355.7605,0.8467176,101.209526,375.56085,0.9192245,99.68372,409.04623,0.8304295,105.32612,425.6379,0.7716124,281.89374,257.41647,0.7650748,186.89148,413.36072,0.83638746,178.25018,241.86243,0.8916975,86.94648,381.42352,0.7345906
5,223.11877,232.84062,0.7098476,221.17767,255.92706,0.7815004,142.72012,317.06046,0.6270106,110.991455,355.668,0.8446281,101.39717,375.50635,0.9118011,99.91372,409.63834,0.8353418,105.831116,426.59827,0.8026375,281.82983,257.54034,0.7712429,187.89561,413.43494,0.82221234,178.26562,241.54742,0.89087695,86.89349,381.03452,0.74404687
6,223.40073,232.76245,0.71359825,221.46489,256.04904,0.7867312,142.80482,316.92642,0.62369984,111.196266,355.72232,0.8445665,101.599495,375.7063,0.9126202,99.715836,409.12256,0.8318055,105.065575,426.13892,0.7655391,281.6562,257.3943,0.7631363,188.19182,413.16583,0.81552243,178.36475,241.43358,0.88433945,86.970566,381.5203,0.7419973
7,223.10011,232.85336,0.7044933,221.53001,256.16214,0.7780995,142.88533,317.0858,0.645238,110.976494,355.44858,0.855269,101.34945,375.50818,0.91811115,99.5902,409.62686,0.8332646,104.653496,426.2004,0.7858286,281.4808,257.4428,0.7718878,187.22556,413.66882,0.7994914,178.39932,241.57492,0.8916899,86.90847,381.17517,0.74119836
