scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,361.85242,218.39781,0.5414397,362.27164,247.07286,0.7427553,367.9909,301.55386,0.8448857,359.03204,348.5067,0.88150036,356.4847,366.09573,0.81441873,345.63654,406.44876,0.66677755,343.8428,422.8026,0.72842425,417.80362,240.25908,0.7377617,419.2052,384.25598,0.67891884,296.03046,228.86165,0.36908025,284.70422,381.03818,0.8187007
1,361.72107,219.50537,0.54522735,362.4004,247.30379,0.7572314,368.71216,302.0138,0.80360204,359.9925,348.70145,0.8698687,356.99057,367.54263,0.8580538,347.34344,408.43378,0.6617102,345.54614,424.9151,0.77499217,417.80142,240.54376,0.72697866,417.57086,385.5074,0.7070577,296.3059,228.64885,0.39217305,285.83133,382.99802,0.81049377
2,361.76175,220.42679,0.55280364,362.31442,247.24554,0.76966685,366.9356,301.77722,0.79561037,359.87433,348.9255,0.8720068,357.04242,367.75598,0.8469991,346.52435,407.65137,0.67755055,345.6808,423.45145,0.8007164,417.06445,241.01392,0.7604454,417.78772,385.76288,0.7099321,296.13397,228.8728,0.41392255,286.48627,383.3577,0.8215174
3,361.19055,220.21893,0.5433411,362.4859,247.64925,0.7611442,366.93887,301.82153,0.8010925,359.58136,349.13834,0.88151217,356.8384,367.92422,0.83969295,346.22305,408.33292,0.67449135,344.796,424.41452,0.793627,417.14423,241.12135,0.76780045,417.6671,385.68118,0.6982781,296.27966,229.08087,0.40722388,285.89963,382.9029,0.8107476
4,361.59976,220.39276,0.53425604,362.4461,247.78798,0.75269574,366.9123,301.1948,0.8090328,359.69766,348.93256,0.86370146,357.04718,367.7387,0.8284928,346.4602,408.4806,0.6559001,344.68622,425.10892,0.75736827,417.16022,241.52383,0.7532561,418.36472,385.09604,0.7047816,296.30383,229.08006,0.4153897,286.3799,383.14902,0.8302317
5,361.45288,219.92274,0.5390422,362.51663,247.34547,0.7520461,368.5991,301.2413,0.7933213,359.72046,349.11295,0.86530495,356.89127,367.5252,0.81772006,347.53687,407.55362,0.6449448,345.74222,423.43903,0.7244587,417.15955,241.78412,0.7590109,418.55624,385.44022,0.70393544,296.25183,229.1478,0.422441,286.3227,382.91208,0.83183396
6,361.31738,220.07402,0.5358748,362.43396,247.44846,0.7292018,368.4748,301.06418,0.81961685,359.71542,348.6917,0.84781164,356.7554,367.5386,0.8230538,347.50766,407.57196,0.6521103,345.60556,423.42993,0.73170334,417.1988,241.83649,0.76124316,419.4109,385.31094,0.6888238,296.31616,229.21555,0.4159637,284.88177,382.4539,0.8261996
7,361.4334,219.63898,0.5388867,362.59106,247.2972,0.750754,366.96252,300.76453,0.8117786,359.47046,348.4981,0.8275786,356.81964,367.47192,0.79455847,347.86874,408.1409,0.6452258,346.1336,424.45914,0.72291595,417.2466,242.26416,0.7759062,418.7294,384.5699,0.70256114,296.51303,229.34763,0.41677466,284.9734,382.81445,0.8169575
