scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,590.9451,494.27612,0.04126854,180.64957,77.28679,0.044649035,612.7132,132.31018,0.032526594,597.9551,23.508862,0.052625008,598.30664,600.56006,0.049873427,591.0277,603.74506,0.08285508,194.69841,32.911625,0.08527497,581.8694,28.428116,0.09604899,582.68005,23.522533,0.071464725,22.904615,596.932,0.031919796,593.59674,604.4272,0.07011587
1,590.7312,350.1617,0.038809136,453.1154,525.6477,0.056195077,28.339397,604.6814,0.02724576,454.2196,517.2755,0.07163277,20.499157,613.3967,0.027521703,453.69473,513.26276,0.10873232,450.08643,531.89435,0.18721087,439.86462,537.55084,0.12711255,583.95953,592.8518,0.06372892,22.003895,596.8038,0.035593238,595.1169,596.80664,0.046460755
2,591.7718,574.6956,0.06102266,414.54532,363.4145,0.0806207,419.5724,376.52924,0.05004246,598.3104,582.7775,0.043162663,20.596994,613.2889,0.035010293,424.7374,355.13806,0.07937818,415.73483,357.9259,0.12492225,408.69162,358.3328,0.12569913,583.9942,592.22864,0.06181665,22.262348,596.86395,0.04987994,415.11047,362.00876,0.08044278
3,45.67982,141.35303,0.039842132,45.355736,45.734173,0.027857356,28.990526,605.36115,0.060579337,388.54526,565.5534,0.03113031,52.995846,595.8291,0.042693786,421.71173,272.59457,0.08661382,425.56555,280.28378,0.117871225,17.806213,595.77783,0.084396444,434.0301,278.64334,0.05633118,22.438444,597.0516,0.065163374,30.462221,597.642,0.056517843
4,63.154575,585.5913,0.0385808,55.7992,596.90454,0.039575856,29.610939,605.44995,0.07465606,55.627644,565.6252,0.028145323,52.761944,581.3904,0.0891025,38.593014,598.1821,0.1210892,307.8674,19.235092,0.03489674,17.892181,595.75665,0.10506647,62.19201,588.53046,0.072236806,22.88993,596.8134,0.08991731,29.598293,597.4398,0.08352264
5,549.345,581.0682,0.050369352,548.42487,589.54065,0.061851155,29.296186,605.3949,0.05919072,373.93964,341.2918,0.050836805,20.770313,613.21027,0.040135488,358.10126,337.72186,0.087424405,409.72537,336.50174,0.117496,360.08636,346.41074,0.101076506,583.78265,578.6076,0.04770089,22.567957,596.9866,0.06709234,30.427189,597.6173,0.06103741
6,549.4733,580.9805,0.052326683,548.72424,589.618,0.07371285,29.305313,605.4117,0.059448063,581.90826,566.76166,0.03144727,20.85112,613.1761,0.041301236,373.7866,481.7225,0.11405684,372.35062,498.5326,0.15915643,377.17252,489.72357,0.10345795,583.71185,578.41644,0.04896408,22.511915,596.9711,0.06866736,30.35148,597.6436,0.061135296
7,548.9711,580.80115,0.04612509,252.96866,379.1014,0.069001056,29.322607,605.4349,0.06054341,437.796,412.625,0.041874904,20.89356,613.13696,0.040641315,421.57245,417.03656,0.12387434,432.8976,419.82208,0.17889126,424.76053,426.43042,0.11870048,583.6038,578.34656,0.051910236,22.522566,596.93805,0.06652719,261.7867,385.07324,0.07895695
