scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,585.5421,592.63715,0.07659619,577.3228,591.9127,0.0347605,586.5448,587.0575,0.070006415,35.09401,581.9708,0.027124241,8.942841,605.5232,0.022169963,26.544624,12.083074,0.028890168,15.540755,585.78394,0.030954663,448.76828,599.4627,0.03212502,4.1970778,586.72046,0.119261645,600.42444,600.1546,0.04845057,591.13837,591.7418,0.18434179
1,586.7846,592.3089,0.044841696,306.1335,599.0659,0.02646271,588.3617,585.7451,0.06701543,290.52103,516.2444,0.032571245,169.03964,491.23978,0.028027302,300.3095,489.08185,0.032137103,183.10735,495.9442,0.06568931,321.16156,598.9276,0.07386094,185.02167,495.52496,0.10586357,600.0973,599.7074,0.042844497,192.56541,487.7501,0.19614132
2,195.63266,82.59437,0.036404576,193.67863,85.03792,0.05365715,199.39102,91.59846,0.06546964,292.09662,579.08527,0.04299424,310.40686,505.76416,0.03675937,317.22253,526.7736,0.05254192,313.2403,541.9573,0.13476294,171.16638,605.65955,0.06524365,5.3882313,586.6196,0.07502604,232.59625,300.50018,0.036648273,201.69972,79.241196,0.3078683
3,178.33812,598.36145,0.03238544,146.14244,613.22736,0.030196456,226.70105,528.3606,0.049722828,147.74995,579.6042,0.03317435,288.37045,395.59552,0.02548655,317.10757,496.04367,0.03814432,417.1571,456.97018,0.08629653,351.92642,598.7884,0.054938253,5.428243,586.4948,0.0825154,418.7218,463.5441,0.05569163,351.1469,403.457,0.29121557
4,225.84262,596.5476,0.048681624,49.769283,600.05286,0.044165436,210.18437,496.00162,0.04714923,243.362,531.9517,0.02682601,242.67653,593.5116,0.05248568,314.42014,578.4628,0.036075477,220.49486,488.2384,0.055109356,448.1966,599.94763,0.06755298,243.23978,595.52954,0.08027699,216.55315,348.0222,0.03548445,224.01486,342.58188,0.19566105
5,289.51868,597.3627,0.03561637,224.61475,484.74237,0.04095823,208.01877,488.89478,0.062208034,124.72405,309.93622,0.033331063,119.55015,302.2402,0.03897166,221.17873,470.22275,0.055453002,219.25526,488.1928,0.118788436,79.62248,599.62427,0.041608457,5.6659966,586.7499,0.09955732,136.19415,323.1882,0.036787715,125.321785,303.61154,0.41419262
6,306.23715,597.00464,0.041928142,289.5538,605.13257,0.043110646,143.24434,487.5238,0.07281737,127.88893,309.05038,0.043554388,122.17785,300.90506,0.03559414,220.20978,480.031,0.042979553,219.49588,488.02975,0.09302633,367.50427,599.29346,0.03631471,6.157677,586.9855,0.094215915,441.06058,508.29657,0.04109554,124.78208,306.20154,0.39402184
7,290.1232,597.19556,0.031111008,338.46262,598.1774,0.031520825,160.49942,545.1443,0.061667226,146.96114,579.42896,0.035619378,257.1905,268.87354,0.029122084,315.77386,466.29312,0.045340575,156.10733,551.4001,0.1448991,320.9743,323.86703,0.04769971,163.87076,547.7562,0.075285055,329.40668,332.59583,0.03851376,160.98329,553.3046,0.23883462
