scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,237.84157,588.12317,0.05649234,13.657157,589.6718,0.08043396,614.4333,604.4119,0.06516931,580.56476,3.9025354,0.05088233,589.2745,21.875187,0.06624856,11.83305,596.0053,0.07520753,564.9374,19.04994,0.07476476,579.0485,12.77963,0.06342386,236.02286,583.252,0.2631588,26.885376,588.21674,0.1362316,606.69086,611.1114,0.04059827
1,596.50586,598.3138,0.046738744,541.17914,589.21027,0.06609868,532.4258,339.5878,0.043246135,51.994045,20.498926,0.050891474,19.98938,37.09389,0.06594209,539.6297,597.0927,0.07505344,532.37915,339.71667,0.11149296,577.84705,341.34998,0.04926112,268.48935,584.86566,0.036708552,539.2372,588.2015,0.09919574,566.01746,602.0958,0.037624326
2,596.3833,598.6889,0.039462592,13.047673,589.5672,0.06649343,412.02667,363.5221,0.060837734,412.75568,364.29858,0.05538481,411.80432,372.57333,0.085057795,11.847946,28.130997,0.06703758,419.41043,371.49298,0.14155436,577.94635,341.68582,0.054572675,460.59595,585.2417,0.0418266,459.359,588.5603,0.08703459,606.1843,611.70197,0.050660636
3,36.982838,580.4547,0.03929961,13.137804,589.67377,0.066653565,613.0823,396.2444,0.03860778,51.970287,20.545862,0.061779894,43.73249,20.804861,0.06321175,27.007805,20.260761,0.07039471,36.32439,19.678017,0.08330686,577.93823,325.5961,0.05899598,555.7844,291.88333,0.03857349,411.63486,588.45123,0.08874328,573.37897,396.05896,0.030433873
4,596.2507,598.6159,0.042740267,13.085305,589.60596,0.06696338,613.9148,604.17303,0.04315245,52.022194,20.529688,0.0577664,43.77459,20.881775,0.063362606,26.949835,20.27064,0.069044635,420.23218,387.7366,0.098633766,577.41486,342.10608,0.058865868,547.312,388.27277,0.030063635,125.212845,603.6569,0.09002398,606.0548,611.395,0.044114154
5,596.4287,598.22003,0.04223575,13.114358,589.6179,0.06930579,484.33054,307.67422,0.054616354,51.956356,20.548952,0.05658488,484.7064,324.28827,0.066918544,27.02777,20.188349,0.067730315,484.22742,323.5452,0.12421705,577.88855,341.42212,0.07249285,547.8871,275.89078,0.029786656,459.80637,596.2187,0.08340085,590.84344,286.44528,0.035656154
6,36.918217,580.31226,0.03566492,13.077554,589.59033,0.06807149,613.0896,364.1781,0.0363305,52.021393,20.56404,0.053359807,43.75556,20.845308,0.060083035,26.958454,20.261568,0.06587783,532.5541,371.80804,0.079211794,578.1501,372.92096,0.05320175,547.84534,260.10843,0.036316548,539.74744,596.13666,0.085344546,21.872805,116.48016,0.030694366
7,36.97009,580.32336,0.03732725,13.058715,589.53845,0.0668108,468.52185,387.31293,0.08047151,484.90817,396.31958,0.05340457,476.1176,404.4517,0.06270034,26.991503,20.256042,0.0680528,483.67258,387.67325,0.13522963,578.143,309.48163,0.056079317,547.865,275.84647,0.03610698,459.56094,588.43634,0.086291514,605.9392,611.74164,0.035360772
