scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,19.92756,598.7085,0.03817482,515.4217,603.8265,0.022810977,16.623644,39.057262,0.04235624,17.757996,581.6993,0.03997807,585.7466,585.274,0.05472145,9.536476,594.82904,0.061493374,8.762609,592.8634,0.04688021,584.77386,593.11633,0.13649878,584.52734,592.50555,0.07786372,14.782658,108.15792,0.025263526,598.10455,579.0948,0.040813312
1,19.919542,597.97345,0.04025478,547.3676,596.03296,0.029123655,17.69204,38.62152,0.03851454,33.958553,21.348555,0.042670965,585.83374,585.2441,0.05193185,584.9648,595.23224,0.056642544,9.938448,593.5143,0.04673998,584.91675,593.3339,0.11870004,584.7187,592.449,0.07647699,12.752122,19.930254,0.029274866,598.1979,579.0839,0.03606737
2,578.5705,597.0855,0.039266355,467.39044,596.49445,0.030125733,18.609446,21.658937,0.038521346,33.925846,21.475494,0.041407462,585.7909,585.254,0.052358657,584.94257,595.15765,0.056356363,10.001942,593.5548,0.04723998,584.3603,585.46313,0.12032293,584.6189,592.455,0.07558022,12.677549,19.887516,0.030146398,598.1135,579.2253,0.036119554
3,19.997723,597.855,0.043164827,204.08885,539.20795,0.03614067,18.15242,38.301685,0.03059704,34.056244,21.406235,0.038392402,585.998,585.31775,0.04937545,585.0814,594.9717,0.05207869,10.147037,593.4574,0.042870604,584.96234,593.2761,0.11729277,584.62067,592.4472,0.071296036,12.599367,19.85409,0.024978597,598.3174,579.13605,0.040047336
4,19.989874,597.801,0.0404414,379.7916,59.613243,0.027406605,18.72221,21.469986,0.03585306,34.1151,21.42289,0.04351236,585.86035,585.1919,0.048289884,585.05945,594.8564,0.05490967,10.180355,593.6067,0.041819498,584.91675,593.26324,0.11633289,584.5523,592.4268,0.066368885,12.629125,19.877684,0.02817227,598.2619,579.09045,0.037426755
5,20.053677,597.9894,0.038576484,419.19052,603.64825,0.025974737,18.70726,21.497387,0.034720987,34.106133,21.44086,0.037484135,585.8325,584.98303,0.051634505,584.9198,594.9861,0.05370222,10.064554,593.40686,0.044530675,584.503,585.1741,0.11826656,584.54565,592.2956,0.07117057,12.719264,19.91152,0.026451234,597.99335,579.174,0.036253653
6,20.081743,597.8923,0.038862243,411.87015,331.28857,0.04566267,18.704754,21.554798,0.039090745,33.988796,21.49072,0.03826341,586.03986,585.2322,0.04820929,585.1216,595.1585,0.049710754,10.174474,593.51886,0.043628298,584.8914,585.4762,0.11032327,584.9754,592.50134,0.06939144,12.620741,19.857353,0.030139979,597.9803,578.99493,0.037575338
7,20.153475,597.9025,0.033183236,299.8275,459.15097,0.04194277,298.39047,452.51114,0.036556423,34.207024,21.4327,0.036105324,585.7566,594.87823,0.042178992,585.4383,595.11053,0.044271566,10.271854,593.4031,0.040392645,585.3552,593.72186,0.09514514,585.0012,592.90344,0.06287872,12.5569105,19.885054,0.024729848,598.4899,579.0369,0.032542672
