scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,353.88013,194.49701,0.86492246,354.41858,209.3494,0.8693526,394.35736,251.84862,0.82123256,403.487,283.7123,0.7759501,412.49255,301.63943,0.6377911,431.7683,338.88864,0.5791926,435.11255,349.17685,0.44113767,402.56393,199.7164,0.86804086,452.29907,323.0307,0.9141766,280.23846,218.52809,0.8575699,338.9769,353.20932,0.86999005
1,353.9182,194.4279,0.863381,354.65735,209.4811,0.8819896,394.5331,252.08318,0.81079507,403.5967,283.67056,0.79677576,412.49466,301.47363,0.6376302,431.53314,338.72232,0.56892914,434.64493,349.695,0.4463611,402.69296,199.80197,0.8694078,452.67505,323.3632,0.8962189,280.26373,218.21666,0.8752013,338.2967,352.77417,0.906811
2,355.68707,194.45831,0.8691077,355.92636,209.30602,0.8642585,397.10806,250.65204,0.8222866,406.52188,282.69983,0.79835206,412.42767,300.00687,0.66179585,432.35718,337.07956,0.60185975,423.9878,352.3299,0.4486857,403.91193,199.79825,0.87856436,457.0845,323.3244,0.79902345,281.58133,218.32948,0.8650939,339.0683,353.12488,0.9101381
3,355.41782,194.42049,0.85634077,355.94534,209.20203,0.8458556,397.97464,248.74445,0.8326763,406.60687,282.4068,0.7813317,412.54416,299.9587,0.65869164,432.25494,337.07632,0.57763547,423.07327,352.19556,0.5045822,403.96896,199.2873,0.8632588,457.0407,322.88687,0.80944335,281.84607,218.16586,0.8541898,338.38278,353.36465,0.92704344
4,356.2608,194.48868,0.86142725,356.40717,209.50278,0.8484657,397.6853,250.45078,0.8243228,407.00427,282.49387,0.7843721,412.78534,300.17868,0.64501387,428.0749,336.23654,0.5486072,426.94153,348.54416,0.53236735,404.144,199.66505,0.86799115,457.50467,323.32376,0.79343724,281.99033,218.0142,0.871538,338.3715,352.88794,0.90699756
5,356.71902,194.17726,0.8625394,356.69974,209.31635,0.84675896,398.79285,248.87988,0.821801,407.2146,282.68057,0.80797434,412.93298,300.25473,0.6495121,432.74835,337.19345,0.5692051,422.52722,352.53467,0.51528007,403.99957,200.20494,0.89074093,456.4359,321.50778,0.79259247,282.25116,218.38034,0.8739838,339.17584,352.67184,0.9371802
6,356.68976,194.25339,0.85921574,356.67807,209.21475,0.853366,398.28156,250.6783,0.7878305,407.43918,282.58304,0.76373196,413.23407,300.31818,0.6432671,432.20505,337.29453,0.5509504,421.6143,352.59686,0.5344105,403.95212,200.34944,0.8870919,456.96548,322.03638,0.80133957,281.8197,217.88809,0.8665893,339.84503,352.20718,0.94612414
7,356.666,194.16478,0.85483176,356.73404,209.29498,0.844179,398.99133,247.5857,0.8065805,407.42065,282.45642,0.75524306,413.45468,299.932,0.63581216,427.60056,336.40982,0.567738,421.20544,352.38046,0.5465845,404.05734,200.10042,0.8888166,457.2917,322.78772,0.79419166,282.2367,218.07713,0.88774526,340.18042,352.202,0.93274164
