scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,204.71548,219.80066,0.87141556,206.88039,236.28416,0.9542823,147.37372,302.7676,0.6466738,123.900856,338.2187,0.7549436,119.82176,358.5818,0.7421243,120.45936,396.36896,0.80008006,126.00801,410.70596,0.78136724,267.2352,231.79514,0.80160946,217.34927,378.95346,0.6050897,167.75507,226.38046,0.71960574,102.020935,365.67245,0.9008689
1,210.52742,225.64552,0.9046071,214.28755,239.87323,0.94023234,156.7433,306.13525,0.7221445,136.73459,343.82446,0.7829121,131.61552,364.70312,0.826364,128.13142,400.1935,1.0,134.36884,415.77948,0.8527512,273.7396,234.2307,0.7575904,226.83386,383.3111,0.58533746,170.76997,228.82417,0.7230533,111.73729,373.63464,0.929209
2,215.48178,228.2735,0.9159658,218.48123,242.1617,0.92052525,162.60503,312.1817,0.84220946,143.41226,345.36606,0.9188078,140.6784,367.2185,0.82637227,136.01021,406.37494,0.93976986,144.31892,423.0718,0.98519844,280.16986,235.98438,0.7938597,234.64514,386.5922,0.6063443,174.35124,232.02307,0.77651685,116.8976,379.0384,0.9656964
3,213.90253,228.94289,0.94360936,219.09062,242.63893,0.9518345,163.47644,313.37775,0.7908234,144.51723,346.08118,0.9138737,142.38794,367.9359,0.8168447,137.35226,407.60052,0.92391276,145.9915,423.78018,0.95166814,280.6715,235.66281,0.81071866,236.99326,387.0521,0.493767,175.32439,232.75214,0.79356045,118.139465,380.73853,0.9316779
4,214.23257,229.1414,0.95587206,219.20055,243.34366,0.97977805,163.74147,314.16293,0.7968813,145.11748,347.0973,0.8984649,143.63916,369.1481,0.8121927,139.15584,409.68594,0.8925598,145.97836,424.9076,0.9255281,281.3167,236.1429,0.79922575,237.14923,387.0719,0.55391604,175.39777,232.63095,0.7981146,118.77584,381.33136,0.87677336
5,214.70782,229.29504,0.94792116,219.50488,243.3258,0.96207714,164.28044,314.45618,0.8046704,145.93091,348.00284,0.9033541,144.13799,371.71475,0.915259,140.91856,410.42947,0.8342085,147.09814,424.54376,0.8897799,282.12756,237.91266,0.81073475,239.31235,386.7501,0.57368475,175.30028,233.17006,0.7830645,118.98006,380.95935,0.85659313
6,214.92213,229.49525,0.9622498,219.53441,244.03343,0.9981221,164.95653,315.41275,0.7877904,146.62515,349.87967,0.8533124,144.77988,372.67938,0.8751401,138.96281,408.50885,0.82951707,148.45322,425.52686,0.87645537,282.0382,238.49763,0.80522746,238.60306,387.08273,0.6368173,175.67862,233.81152,0.78458,117.74991,381.50378,0.8833535
7,214.83669,229.81216,0.95768917,219.60283,244.23941,0.98936576,164.81949,316.18155,0.76621443,147.55504,350.7521,0.79425126,145.23175,373.56528,0.9008461,140.16124,410.5224,0.85787255,148.49585,424.59534,0.8782325,282.52078,239.3156,0.80061144,240.0862,387.52518,0.6141709,176.01955,234.6739,0.7845813,118.61688,382.20035,0.9109591
