scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,299.8137,162.95215,0.6100274,298.74136,172.94838,0.33091253,227.41994,192.2496,0.3996428,210.50478,221.10934,0.7535953,208.97777,238.68277,0.7899054,220.82936,269.64792,0.6018404,229.35643,289.68265,0.5731578,367.40808,172.78033,1.0,246.45856,258.2729,0.33883587,226.26137,180.56294,0.60810584,189.91406,257.69757,0.69015706
1,298.352,163.86824,0.5437147,297.4267,179.18973,0.2817082,227.83868,187.82513,0.4136156,208.46362,226.51234,0.6049975,204.19333,244.09479,0.6444055,218.83589,273.1763,0.43145385,228.5876,298.27344,0.5004966,367.4285,175.42693,1.0,298.65192,444.8295,0.35860446,225.97227,176.5502,0.5565063,184.47171,255.61713,0.6966005
2,300.7538,161.72125,0.6320625,299.24652,172.02614,0.36024427,226.31934,192.7151,0.47178447,204.75507,224.43382,0.627009,199.41267,243.15439,0.6522844,210.79068,270.9961,0.3531168,227.4688,300.4424,0.3616119,366.5508,173.66685,1.0,307.76898,558.6094,0.3254542,222.94606,177.95473,0.5009618,182.0254,259.74402,0.62593174
3,300.7249,161.10628,0.61698794,299.56384,171.73808,0.37874207,225.56198,192.89409,0.47783634,205.11604,222.68427,0.6122317,199.30159,243.5845,0.6427832,196.8693,259.63965,0.33986422,201.01541,272.86737,0.3191015,366.63995,173.0588,0.99377054,319.81845,563.4033,0.3923538,221.77325,178.26125,0.46657538,183.85963,259.1102,0.5166369
4,301.24792,161.03548,0.60757625,300.07996,171.66393,0.3873439,225.84149,192.9237,0.51493496,205.2872,222.64613,0.6076607,198.81575,242.21791,0.5756844,194.76628,260.02286,0.38942125,205.95549,274.2292,0.42615515,366.33438,172.04027,1.0,307.20407,558.57465,0.37333205,222.26326,179.58192,0.44926065,184.00922,258.60114,0.47788563
5,302.08572,159.62558,0.6672472,300.59296,170.57332,0.44225356,226.7089,191.8923,0.512244,205.878,221.55324,0.6796938,198.47322,240.19328,0.69245607,200.83891,264.0169,0.52507776,206.30373,277.6618,0.47289875,366.92368,171.6012,0.9791352,296.25052,442.99283,0.2574221,223.16293,179.45479,0.41794026,183.0618,259.39148,0.58548373
6,302.23828,157.8596,0.70920306,300.66965,169.22527,0.47523785,227.54492,193.43135,0.4555068,206.21501,223.40059,0.5837125,199.30399,242.7017,0.5495708,202.64972,263.2902,0.42586368,205.38959,277.63376,0.40146855,366.66077,171.3724,0.97113633,307.90262,558.3051,0.24948665,223.27402,180.07422,0.4464393,186.29355,260.66046,0.41936424
7,302.8807,157.07826,0.7658351,301.61258,168.64474,0.5636265,227.9209,188.75691,0.5202346,205.24187,222.83542,0.555032,199.9234,242.62045,0.5308371,203.57373,263.45096,0.39828783,206.76836,278.43295,0.34455258,366.82648,171.19868,0.9837553,308.11823,559.079,0.33371848,225.01303,179.35915,0.3697366,188.0036,260.5267,0.39851564
